N,threads,serial_ms,thread_ms
1000000,1,0.300002,0.400019
1000000,2,0.200009,0.300002
1000000,4,0.200009,0.300002
1000000,8,0.200009,0.300002
1000000,16,0.300002,0.600004
1000000,32,0.300002,0.999999
1000000,36,0.300002,1.200008
10000000,1,3.999996,6.200004
10000000,2,3.900003,4.299998
10000000,4,3.999996,1.999998
10000000,8,3.999996,1.200008
10000000,16,3.900003,1.100016
10000000,32,3.999996,1.500010
10000000,36,3.899980,1.600003
100000000,1,43.700004,71.000004
100000000,2,44.100022,48.199987
100000000,4,44.099998,26.500010
100000000,8,43.299985,17.400002
100000000,16,43.499994,14.499998
100000000,32,43.300009,15.100002
100000000,36,43.200016,15.199995
1000000000,1,438.599992,724.500012
1000000000,2,438.600016,495.899987
1000000000,4,438.499999,271.399999
1000000000,8,443.799996,180.900002
1000000000,16,442.000008,160.500002
1000000000,32,440.900016,149.699998
1000000000,36,441.400003,150.199986
